Main,Affiliate,wake_state,study_type,bihemispheric_effects_on_main,1_main_to_affiliate_projection,1_main_to_affiliate_projection_strength,1_main_to_affiliate_ref,2_affiliate_to_main_projection,2_affiliate_to_main_projection_strength,2_affiliate_to_main_ref,hierarchichy_level_rel_to_main,hierarchy_evidence,hierarchichal_ref,ROI_label_consistent,Other comments
MSTl,AITd,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,Rua25,unknown,na,na,No- MST and STS,indirect measure. Note same data for MSTl and MSTd. Same data for PITd/CITd/AITd.
MSTl,AITv,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,Rua25,unknown,na,na,No- MST and TE,indirect measure. Note same data for MSTl and MSTd. Same data for AITv/CITv.
MSTl,STPp,anesthetized,tracer,NR,strong,retrograde from STPi/STPc injections indicating projections to these areas but no layer data reported,Mark14,,,,higher,meta-analysis constraints,Fel91,No- MST and STPi/STPc,Note same data for MSTl and MSTd
MSTl,STPp,anesthetized,tracer,NF,moderate,moderate anterograde tracer that contains heavy cells that target layer 4 (suggesting MSTl is feeding forward signal),Bou90,moderate,moderate retrograde tracer that targets infragranular layers suggesting feedback to MSTl,Bou90,higher,laminar termination,Bou90,No- TPO and Pga - MSTp,In Bou90 TTAa TPO and PGa are all in STP generally but TAa has little to no signal. Rough average of TPO and PGa implies moderate connections. Note that STPp logged here instead of STPa because graphics illustrate only the first half to two thirds of STP showing signal (from posterior to anterior)
MSTl,STPa,anesthetized,tracer,NR,strong,retrograde from STPr injections indicating projections to STPr but no layer data reported,Mark14,,,,higher,meta-analysis constraints,Fel91,No- MST and STPr,Note same data for MSTl and MSTd
MSTl,STPa,anesthetized,tracer,NF,unknown,,Bou90,unknown,,Bou90,higher,meta-analysis constraints,Fel91,No- MSTp,
MSTl,STGp,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,Rua25,unknown,na,na,No- MST and A1,indirect measure. Note same data for MSTl and MSTd
MSTl,STGa,anesthetized,tracer,NR,moderate,retrograde from PBr injections indicating projections to PBr but no layer data reported,Mark14,,,,unknown,na,na,No- MST and PBr,Note same data for MSTl and MSTd
MSTl,insula,anesthetized,DTI tractography,NR,moderate,,Rua25,moderate,,Rua25,unknown,na,na,No- MST,indirect measure. Note same data for MSTl and MSTd
MSTl,TG,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,Rua25,unknown,na,na,No- MST,indirect measure. Note same data for MSTl and MSTd
MSTl,TF,anesthetized,tracer,NF,absent,,Bou90,unknown,indeterminate result,Bou90,higher,meta-analysis constraints,Fel91,No- MSTp,
